<t>CREATE TABLE Robotics {
  robot_id UUID PRIMARY KEY,
  robot_name STRING NOT NULL,
  manufacturer STRING,
  year_of_manufacture INT
}</t><s>DROP TABLE IF EXISTS Robotics</s>
<t>CREATE TABLE Robotics {
  robot_id UUID PRIMARY KEY,
  robot_name STRING NOT NULL,
  manufacturer STRING,
  year_of_manufacture INT
}</t><s>drop table if exists robotics</s>
<t>CREATE TABLE Robot (id UUID PRIMARY KEY, name STRING, manufacturer STRING, year INT, price FLOAT);
<t>CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)</t><s>drop table robotics.tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

CREATE TABLE Robotics.Components (component_id INT PRIMARY KEY, component_name STRING, robot_id INT REFERENCES Robots(robot_id))

CREATE TABLE Robotics.Users (user_id INT PRIMARY KEY, user_name STRING, user_email STRING)</t><s>DROP TABLE Robotics.Tasks</s>
<t>CREATE TABLE Robotics.Robots (robot_id INT PRIMARY KEY, robot_name STRING, manufacturer_id INT REFERENCES Manufacturers(manufacturer_id))

CREATE TABLE Robotics.Tasks (task_id INT PRIMARY KEY, task_description STRING, robot_id INT REFERENCES Robots(robot_id), user_id INT REFERENCES Users(user_id))

CREATE TABLE Robotics.Manufacturers (manufacturer_id INT PRIMARY KEY, manufacturer_name STRING)

